AccID	Location	Exon	R900_Junc_Inclusive::Exclusive	Y58S_Junc_Inclusive::Exclusive	R900_Exp_Inclusive::Exclusive	Y58S_Exp_Inclusive::Exclusive	delta_PSI	P-Value	FDR	SplicingType
LOC_Os01g01780	Chr1:413395-413401	3	122::69	0::273	60::188	6::254	0.638743455497382	0	0	A3SS
LOC_Os01g02360	Chr1:749094-749177	4	0::129	110::0	8::145	136::133	-1	0	0	Cassette
LOC_Os01g02350	Chr1:744100-745914	1	60::87	297::0	86::143	195::201	-0.591836734693878	0	0	Cassette_multi
LOC_Os01g02500	Chr1:809341-809375	4	187::0	27::143	197::157	388::592	0.841176470588235	0	0	A5SS
LOC_Os01g10630	Chr1:5677530-5677548	3	0::207	121::38	31::299	152::264	-0.761006289308176	0	0	A5SS
LOC_Os01g14690	Chr1:8214865-8214875	1	0::163	64::0	607::968	1940::1988	-1	0	0	A3SS
LOC_Os01g15260	Chr1:8541019-8541024	1	3973::13	5053::50	2488::930	3088::3006	0.006536742993973	0	0	A5SS
LOC_Os01g15660	Chr1:8811453-8811589	7	322::407	1118::110	514::750	1058::965	-0.468722492549251	0	0	Cassette
LOC_Os01g23910	Chr1:13456168-13456282	before first	1422::1196	3::689	1183::2295	144::975	0.538827459517701	0	0	Cassette
LOC_Os01g25320	Chr1:14297390-14298235	6	0::476	10::292	29::442	540::399	-0.033112582781457	0	0	A5SS
LOC_Os01g25320	Chr1:14294398-14295677	7	0::478	10::287	23::512	229::253	-0.0336700336700337	0	0	A3SS
LOC_Os01g34190	Chr1:18848142-18848147	1	157::0	0::232	388::361	171::224	1	0	0	A5SS
LOC_Os01g48060	Chr1:27504172-27504184	7	314::2383	1::2892	1283::3718	1339::3760	0.116080055926818	0	0	A3SS
LOC_Os01g51360	Chr1:29531291-29531352	1	748::0	368::137	925::627	496::369	0.271287128712871	0	0	A5SS
LOC_Os01g52110	Chr1:29968565-29968571	1	8263::5	661::1218	6791::7173	1208::1981	0.647612468737633	0	0	A5SS
LOC_Os01g52110	Chr1:29968565-29968571	2	8263::5	661::1218	6791::8821	1208::2288	0.647612468737633	0	0	A5SS
LOC_Os01g52110	Chr1:29968565-29968571	2	8263::5	661::1218	6791::12924	1208::3424	0.647612468737633	0	0	A5SS
LOC_Os01g55300	Chr1:31831269-31831283	5	697::0	1::174	537::556	387::417	0.994285714285714	0	0	A3SS
LOC_Os01g55300	Chr1:31833417-31833422	9	560::4	89::149	517::561	363::387	0.618958221586507	0	0	A5SS
LOC_Os01g57490	Chr1:33220966-33221008	6-7	0::84	527::0	233::304	527::6	-1	0	0	MXE
LOC_Os01g58080	Chr1:33596747-33596800	2	767::884	949::9	759::380	795::377	-0.52603849884109	0	0	A3SS
LOC_Os02g07030	Chr2:3594691-3594981	2	262::326	3::546	292::582	98::675	0.4401137504182	0	0	Cassette
LOC_Os02g34120	Chr2:20415304-20415384	before first	0::413	75::65	7::516	155::317	-0.535714285714286	0	0	AltStart
LOC_Os02g38490	Chr2:23273051-23273306	3	41::19	22::385	397::89	89::534	0.629411764705882	0	0	AltEnd
LOC_Os02g38710	Chr2:23401552-23401573	7	0::109	1180::0	35::165	1247::1099	-1	0	0	A5SS
LOC_Os02g38710	Chr2:23401580-23401652	7-8	109::42	0::1197	64::54	24::1248	0.710792305184219	0	0	A3SS
LOC_Os02g38804	Chr2:23457036-23457102	3	436::0	5::157	242::79	7::69	0.964358452138493	0	0	Cassette
LOC_Os02g48430	Chr2:29657471-29657551	1-2	3::229	142::0	47::138	220::51	-0.987068965517241	0	0	AltStart
LOC_Os02g57640	Chr2:35300505-35300510	5	8321::12	11::9396	4866::9612	2305::10205	0.997285011588617	0	0	A5SS
LOC_Os03g10224	Chr3:5203254-5203342	9	71::0	5::118	140::425	368::604	0.959349593495935	0	0	A5SS
LOC_Os03g10220	Chr3:5203254-5203342	6-7	71::0	5::118	140::426	368::620	0.959349593495935	0	0	A5SS
LOC_Os03g10600	Chr3:5406387-5406508	8	785::287	1267::0	888::1117	1314::1023	-0.267723880597015	0	0	A5SS
LOC_Os03g10600	Chr3:5406479-5406508	8	843::287	1266::0	817::800	1319::936	-0.253982300884956	0	0	Cassette
LOC_Os03g57500	Chr3:32783952-32783957	8	192::0	0::124	83::278	34::294	1	0	0	A5SS
LOC_Os03g62910	Chr3:35591749-35591762	3	0::1210	557::1033	96::998	542::1219	-0.350314465408805	0	0	A3SS
LOC_Os03g62910	Chr3:35595068-35595237	12	1819::408	7387::0	1084::1145	2340::2170	-0.183206106870229	0	0	Cassette
LOC_Os04g02820	Chr4:1094277-1094422	2	1121::0	574::409	403::7	238::751	0.416073245167853	0	0	AltStart
LOC_Os04g31010	Chr4:18535377-18535399	6	127::2	0::443	112::110	93::281	0.984496124031008	0	0	A3SS
LOC_Os04g33590	Chr4:20340879-20340959	1-2	0::353	58::110	6::404	174::178	-0.345238095238095	0	0	AltEnd
LOC_Os04g33630	Chr4:20365798-20365807	1	2::633	2186::0	223::398	1506::1219	-0.996850393700787	0	0	A5SS
LOC_Os04g34984	Chr4:21267652-21267944	11	898::1	514::369	743::1094	484::987	0.416781197681582	0	0	Cassette
LOC_Os04g40340	Chr4:23985016-23985118	7-8	14::346	200::1	695::658	514::350	-0.956135986733002	0	0	Cassette
LOC_Os04g40400	Chr4:24016443-24016455	3	2882::20	520::0	2649::1569	582::1373	-0.00689179875947621	0	0	A3SS
LOC_Os04g50870	Chr4:30091315-30091395	2-3	76::56	0::253	161::73	16::273	0.575757575757576	0	0	AltEnd
LOC_Os04g52340	Chr4:31102867-31102913	1	1067::0	720::178	420::234	989::543	0.199593420809462	0	0	A5SS
LOC_Os04g52340	Chr4:31099025-31099041	11	1::2715	917::2329	205::551	518::679	-0.282685440597085	0	0	A3SS
LOC_Os04g52690	Chr4:31364503-31364549	17	20::65	133::0	456::553	1013::498	-0.764705882352941	0	0	A3SS
LOC_Os04g52690	Chr4:31364601-31364642	16	1472::23	687::136	1534::1514	1106::1287	0.149864473315263	0	0	A5SS
LOC_Os04g53214	Chr4:31694572-31694776	5	895::59	4::71	1209::1112	35::170	0.88482180293501	0	0	Cassette_multi
LOC_Os04g54430	Chr4:32387515-32387630	before first	0::238	188::147	41::6886	124::5734	-0.560357675111773	0	0	Cassette
LOC_Os04g57650	Chr4:34325146-34325163	before first	2422::0	1::257	2408::1829	40::136	0.996124031007752	0	0	A5SS
LOC_Os05g01600	Chr5:356125-356136	2	12552::513	990::8274	10149::14349	4027::10196	0.853869502626366	0	0	A3SS
LOC_Os05g06510	Chr5:3349723-3349729	11	0::138	273::0	82::213	362::447	-1	0	0	A3SS
LOC_Os05g32760	Chr5:19180227-19180336	1-2	0::2077	132::1913	63::1287	138::1448	-0.0645476772616137	0	0	Cassette
LOC_Os05g33020	Chr5:19347081-19347093	12	0::916	237::203	358::880	574::706	-0.538636363636364	0	0	A3SS
LOC_Os05g41240	Chr5:24156554-24156624	2	813::175	54::410	489::771	108::642	0.706698131186479	0	0	Cassette
LOC_Os05g44320	Chr5:25789116-25789149	8	1::552	520::0	905::958	1335::702	-0.998191681735985	0	0	A3SS
LOC_Os05g46360	Chr5:26870221-26870242	7	1672::30	816::662	1825::352	1023::409	0.4302762490678	0	0	A3SS
LOC_Os06g01810	Chr6:467198-467226	3	194::99	67::368	620::428	528::615	0.508093052449884	0	0	A3SS
LOC_Os06g05660	Chr6:2560533-2560548	5	7725::0	2562::3839	6646::7028	2927::6103	0.599875058566297	0	0	A5SS
LOC_Os06g11500	Chr6:6089129-6089150	19	113::0	4::68	133::310	24::661	0.944444444444444	0	0	A5SS
LOC_Os06g15779	Chr6:8964148-8964689	1	535::29	235::599	288::19	54::537	0.66420178015483	0	0	AltStart
LOC_Os06g17950	Chr6:10437545-10437590	4	0::317	417::8	66::480	445::131	-0.981176470588235	0	0	A3SS
LOC_Os07g01920	Chr7:561877-561883	2	446::0	0::278	452::1260	249::2315	1	0	0	A3SS
LOC_Os07g04430	Chr7:1963653-1963658	3-4	1::126	385::0	41::258	274::624	-0.992125984251969	0	0	A5SS
LOC_Os07g10520	Chr7:5667052-5667077	14	1810::0	1649::343	1865::1837	1754::1846	0.17218875502008	0	0	A5SS
LOC_Os07g10810	Chr7:5878277-5878354	2	230::1	1::109	333::405	39::231	0.986580086580087	0	0	A5SS
LOC_Os07g11770	Chr7:6504642-6504722	2-3	364::0	173::167	268::6	134::37	0.491176470588235	0	0	AltEnd
LOC_Os07g16030	Chr7:9349092-9349136	4	119::2	128::313	196::28	105::61	0.693221641273589	0	0	A3SS
LOC_Os07g37760	Chr7:22657689-22657778	before first	20274::31	28373::12	827::1271	1215::3756	-0.00108146408216336	0	0	Cassette
LOC_Os07g37760	Chr7:22655714-22655777	before first	983::0	8727::1	496::843	6014::4119	0.000171786541860564	0	0	A5SS
LOC_Os07g37760	Chr7:22655230-22655381	before first	3214::0	23708::1	234::1195	11026::6808	6.32584423663207e-05	0	0	Cassette
LOC_Os07g37790	Chr7:22663555-22663571	11	0::2625	539::2449	168::571	228::699	-0.181113499426433	0	0	A3SS
LOC_Os07g41360	Chr7:24773727-24773861	1-2	298::2481	0::2965	371::2707	57::2640	0.107232817560273	0	0	Cassette
LOC_Os07g46450	Chr7:27718737-27718744	13	29::45	0::1216	157::845	591::1033	0.391891891891892	0	0	A5SS
LOC_Os08g04090	Chr8:1989077-1989146	3	0::407	1391::0	36::454	1387::1172	-1	0	0	A5SS
LOC_Os08g04830	Chr8:2428400-2428576	3	110::262	714::207	78::280	551::268	-0.479545374943084	0	0	Cassette
LOC_Os08g07850	Chr8:4415118-4415191	3	60::18	606::6	45::397	655::751	-0.212932240153425	0	0	A3SS
LOC_Os08g12430	Chr8:7347362-7347386	3	0::801	289::2	454::936	1210::1017	-0.993127147766323	0	0	A5SS
LOC_Os08g17080	Chr8:10456194-10456253	2	297::59	72::318	324::265	181::326	0.649654278305964	0	0	A5SS
LOC_Os08g19105	Chr8:11402339-11402421	2	62::772	776::424	3407::3820	2296::1378	-0.572326139088729	0	0	A5SS
LOC_Os08g21541	Chr8:12830882-12831967	1	449::138	468::0	354::284	446::8	-0.234096692111959	0	0	AltStart
LOC_Os08g21590	Chr8:12871575-12871969	2	341::0	0::440	524::239	6::489	1	0	0	Cassette
LOC_Os08g21590	Chr8:12871400-12871499	3	0::338	382::61	19::343	539::500	-0.862302483069977	0	0	A3SS
LOC_Os08g38990	Chr8:24649227-24649367	3	101::56	706::0	182::364	311::383	-0.356687898089172	0	0	Cassette
LOC_Os08g38990	Chr8:24648814-24648840	4	247::0	0::398	432::375	55::407	1	0	0	A3SS
LOC_Os08g38990	Chr8:24649441-24649526	2	152::140	396::0	233::358	324::344	-0.479452054794521	0	0	Cassette_multi
LOC_Os08g39120	Chr8:24712698-24712705	1	177::0	0::80	126::61	21::14	1	0	0	A5SS
LOC_Os09g10710	Chr9:5835347-5835381	12	8::1362	1222::0	98::1619	1201::1405	-0.994164843180161	0	0	A3SS
LOC_Os09g10720	Chr9:5848833-5848847	7	74::3	0::240	1518::1757	1209::1558	0.961038961038961	0	0	A3SS
LOC_Os09g17770	Chr9:10872696-10872789	9	0::892	2234::1	42::441	1683::394	-0.999552572706935	0	0	A3SS
LOC_Os09g29950	Chr9:18224845-18224902	13	22::190	3::618	363::384	83::765	0.0989426670312643	0	0	A3SS
LOC_Os09g33740	Chr9:19923271-19923358	1-2	275::281	130::825	175::517	116::994	0.358478662096501	0	0	Cassette
LOC_Os09g36180	Chr9:20858458-20858511	8	315::0	0::284	282::184	18::191	1	0	0	A5SS
LOC_Os09g36900	Chr9:21279483-21279492	4	1970::423	1::3630	2118::2783	1102::3733	0.822959027540968	0	0	A3SS
LOC_Os10g22730	Chr10:11811916-11811932	3	99::1	0::629	107::121	43::625	0.99009900990099	0	0	A3SS
LOC_Os10g24020	Chr10:12310332-12310457	1	102::184	150::56	11::158	271::151	-0.368322649572649	0	0	A5SS
LOC_Os10g24094	Chr10:12344014-12344067	2	347::384	596::105	894::1240	1193::1274	-0.37573514796497	0	0	A5SS
LOC_Os10g25300	Chr10:13082716-13082759	4	71::311	0::795	101::493	533::1448	0.18586387434555	0	0	A3SS
LOC_Os10g25300	Chr10:13082793-13082968	3	1::309	1355::0	6::529	937::1619	-0.996774193548387	0	0	Cassette_multi
LOC_Os10g27300	Chr10:14403879-14404003	2-3	97::40	2::163	61::172	20::186	0.69590798495908	0	0	Cassette
LOC_Os10g29530	Chr10:15339692-15339707	4	0::513	897::1	632::1198	1053::1261	-0.998886414253898	0	0	A3SS
LOC_Os10g30550	Chr10:15886341-15886404	11-12	1::325	345::66	10::282	193::278	-0.836348573731584	0	0	Cassette
LOC_Os10g30951	Chr10:16154495-16154562	8	36::367	991::46	458::871	1092::643	-0.866332625788514	0	0	Cassette
LOC_Os10g31864	Chr10:16716322-16716328	50	372::441	0::843	340::852	179::902	0.457564575645756	0	0	A5SS
LOC_Os11g04520	Chr11:1895207-1895240	2	1::84	626::0	184::494	659::736	-0.988235294117647	0	0	A5SS
LOC_Os11g04520	Chr11:1895245-1895353	3	45::40	0::626	299::797	33::916	0.529411764705882	0	0	A3SS
LOC_Os11g06390	Chr11:3079037-3079051	1	146::9	0::11725	210::15	1709::4693	0.941935483870968	0	0	A5SS
LOC_Os11g06390	Chr11:3079554-3079562	2	120::35	10868::854	3172::14234	6657::16223	-0.152958204577162	0	0	A3SS
LOC_Os11g06740	Chr11:3292999-3293058	6	430::351	0::773	513::1041	51::914	0.550576184379001	0	0	A5SS
LOC_Os11g08590	Chr11:4559738-4559781	9-10	466::0	10::262	441::796	62::345	0.963235294117647	0	0	A5SS
LOC_Os11g17080	Chr11:9476968-9476976	8-9	3::588	147::174	17::637	318::717	-0.452867783101665	0	0	Cassette
LOC_Os11g17080	Chr11:9476878-9476914	8	0::591	13::199	55::646	437::686	-0.0613207547169811	0	0	A5SS
LOC_Os11g20490	Chr11:11873310-11873368	1	474::520	983::0	636::786	1083::733	-0.523138832997988	0	0	A5SS
LOC_Os11g31630	Chr11:18494869-18495441	6	0::122	74::0	426::938	922::1100	-1	0	0	MXE
LOC_Os11g31630	Chr11:18494493-18494647	6	648::0	25::59	782::536	1002::852	0.702380952380952	0	0	Cassette_multi
LOC_Os11g31770	Chr11:18638523-18638580	5	116::479	1233::0	164::517	1535::1653	-0.805042016806723	0	0	A5SS
LOC_Os12g01060	Chr12:42479-42494	7	0::93	108::0	14::54	51::95	-1	0	0	A5SS
LOC_Os12g01060	Chr12:42582-42587	7	93::1	0::108	31::102	13::64	0.989583333333333	0	0	A3SS
LOC_Os12g01080	Chr12:42479-42494	1	0::93	108::0	14::89	51::53	-1	0	0	A5SS
LOC_Os12g01080	Chr12:42582-42587	2	93::1	0::108	31::112	13::106	0.989583333333333	0	0	A3SS
LOC_Os12g01190	Chr12:111185-111221	11	1567::1	1054::152	1394::518	1053::687	0.125861001320041	0	0	A5SS
LOC_Os12g01574	Chr12:350536-350545	1	276::3	0::272	380::220	112::149	0.989247311827957	0	0	A5SS
LOC_Os12g13130	Chr12:7311006-7311032	11	1720::5	769::257	1575::980	1118::1165	0.247346556079707	0	0	A3SS
LOC_Os12g13290	Chr12:7390424-7390819	2	323::1089	175::607	6583::3239	5330::900	0.00509280338467993	0	0	A5SS
LOC_Os12g13290	Chr12:7392677-7392682	8	4876::15	1390::2	3346::2948	733::1282	-0.00127416189098317	0	0	A3SS
LOC_Os12g18729	Chr12:10823043-10823586	1	523::0	758::133	500::7	811::1117	0.149270482603816	0	0	A5SS
LOC_Os12g20144	Chr12:11719132-11719194	6	243::0	3::88	1402::1516	928::1834	0.967032967032967	0	0	MXE
LOC_Os12g20150	Chr12:11732637-11732745	14	0::487	230::363	9::656	50::639	-0.388374052232519	0	0	Cassette
LOC_Os12g24170	Chr12:13770338-13770428	11-12	0::436	219::518	7::549	213::910	-0.297150610583446	0	0	Cassette
LOC_Os12g29680	Chr12:17703178-17703258	5	0::194	229::8	6::6	303::211	-0.961511546536039	0	0	AltEnd
LOC_Os12g29680	Chr12:17701444-17701474	8	0::194	131::8	6::18	142::152	-0.934601664684899	0	0	AltEnd
LOC_Os12g29680	Chr12:17701444-17701739	7	0::194	308::8	6::18	125::152	-0.971098265895954	0	0	AltEnd
LOC_Os12g31470	Chr12:18931014-18931026	9-10	85::0	0::104	86::149	42::122	1	0	0	Cassette
LOC_Os12g31470	Chr12:18931154-18931213	10	0::83	147::0	6::68	215::247	-1	0	0	A3SS
LOC_Os12g31748	Chr12:19106477-19106500	8	196::3	0::198	169::62	18::79	0.984924623115578	0	0	A3SS
