Chr	From	To	Copia	Gypsy	unknown	Total_LTR
whole_genome	1	398253226	0.0352	0.2149	0.0480	0.2949
Chr1	1	3000000	0.0247	0.1254	0.0378	0.1850
Chr1	300001	3300000	0.0219	0.1232	0.0360	0.1779
Chr1	600001	3600000	0.0201	0.1213	0.0364	0.1747
Chr1	900001	3900000	0.0173	0.1092	0.0389	0.1621
Chr1	1200001	4200000	0.0175	0.1006	0.0371	0.1518
Chr1	1500001	4500000	0.0138	0.0866	0.0353	0.1329
Chr1	1800001	4800000	0.0137	0.0896	0.0352	0.1360
Chr1	2100001	5100000	0.0144	0.0752	0.0356	0.1226
Chr1	2400001	5400000	0.0151	0.0833	0.0367	0.1321
Chr1	2700001	5700000	0.0152	0.0867	0.0381	0.1367
Chr1	3000001	6000000	0.0200	0.0837	0.0367	0.1373
Chr1	3300001	6300000	0.0216	0.0718	0.0411	0.1313
Chr1	3600001	6600000	0.0216	0.0832	0.0438	0.1456
Chr1	3900001	6900000	0.0212	0.0834	0.0424	0.1444
Chr1	4200001	7200000	0.0206	0.0910	0.0426	0.1513
Chr1	4500001	7500000	0.0221	0.0993	0.0423	0.1608
Chr1	4800001	7800000	0.0218	0.1028	0.0441	0.1653
Chr1	5100001	8100000	0.0210	0.1037	0.0443	0.1657
Chr1	5400001	8400000	0.0201	0.0983	0.0425	0.1578
Chr1	5700001	8700000	0.0181	0.0970	0.0452	0.1570
Chr1	6000001	9000000	0.0150	0.1062	0.0494	0.1674
Chr1	6300001	9300000	0.0177	0.1088	0.0464	0.1700
Chr1	6600001	9600000	0.0219	0.1020	0.0442	0.1650
Chr1	6900001	9900000	0.0247	0.1034	0.0457	0.1704
Chr1	7200001	10200000	0.0262	0.1062	0.0464	0.1756
Chr1	7500001	10500000	0.0265	0.1128	0.0469	0.1833
Chr1	7800001	10800000	0.0266	0.1113	0.0448	0.1801
Chr1	8100001	11100000	0.0288	0.1225	0.0417	0.1905
Chr1	8400001	11400000	0.0324	0.1302	0.0444	0.2046
Chr1	8700001	11700000	0.0355	0.1336	0.0402	0.2071
Chr1	9000001	12000000	0.0349	0.1318	0.0377	0.2023
Chr1	9300001	12300000	0.0353	0.1509	0.0404	0.2237
Chr1	9600001	12600000	0.0349	0.1494	0.0455	0.2262
Chr1	9900001	12900000	0.0363	0.1609	0.0460	0.2398
Chr1	10200001	13200000	0.0398	0.1833	0.0454	0.2648
Chr1	10500001	13500000	0.0420	0.2060	0.0446	0.2885
Chr1	10800001	13800000	0.0443	0.2087	0.0450	0.2939
Chr1	11100001	14100000	0.0488	0.2182	0.0485	0.3103
Chr1	11400001	14400000	0.0530	0.2113	0.0500	0.3091
Chr1	11700001	14700000	0.0503	0.2099	0.0498	0.3048
Chr1	12000001	15000000	0.0559	0.2229	0.0472	0.3206
Chr1	12300001	15300000	0.0560	0.2173	0.0473	0.3160
Chr1	12600001	15600000	0.0594	0.2304	0.0451	0.3303
Chr1	12900001	15900000	0.0550	0.2370	0.0452	0.3328
Chr1	13200001	16200000	0.0523	0.2236	0.0465	0.3183
Chr1	13500001	16500000	0.0532	0.2116	0.0518	0.3133
Chr1	13800001	16800000	0.0525	0.2391	0.0552	0.3430
Chr1	14100001	17100000	0.0528	0.2685	0.0544	0.3727
Chr1	14400001	17400000	0.0474	0.3309	0.0533	0.4288
Chr1	14700001	17700000	0.0532	0.3665	0.0551	0.4717
Chr1	15000001	18000000	0.0512	0.3638	0.0577	0.4699
Chr1	15300001	18300000	0.0570	0.3625	0.0576	0.4743
Chr1	15600001	18600000	0.0546	0.3549	0.0561	0.4626
Chr1	15900001	18900000	0.0604	0.3428	0.0571	0.4569
Chr1	16200001	19200000	0.0599	0.3341	0.0570	0.4471
Chr1	16500001	19500000	0.0626	0.3245	0.0534	0.4362
Chr1	16800001	19800000	0.0631	0.3041	0.0480	0.4115
Chr1	17100001	20100000	0.0571	0.2945	0.0579	0.4051
