AccID	Location	Exon	R900_Junc_Inclusive::Exclusive	Y58S_Junc_Inclusive::Exclusive	R900_Exp_Inclusive::Exclusive	Y58S_Exp_Inclusive::Exclusive	delta_PSI	P-Value	FDR	SplicingType
LOC_Os01g01780	Chr1:413395-413401	3	122::69	0::273	60::188	6::254	0.6387434554973822	0.0	0.0	A3SS
LOC_Os01g02360	Chr1:749094-749177	4	0::129	110::0	8::145	136::133	-1.0	0.0	0.0	Cassette
LOC_Os01g02350	Chr1:744100-745914	1	60::87	297::0	86::143	195::201	-0.5918367346938775	0.0	0.0	Cassette_multi
LOC_Os01g02500	Chr1:809341-809375	4	187::0	27::143	197::157	388::592	0.8411764705882353	0.0	0.0	A5SS
LOC_Os01g10630	Chr1:5677530-5677548	3	0::207	121::38	31::299	152::264	-0.7610062893081762	0.0	0.0	A5SS
LOC_Os01g14690	Chr1:8214865-8214875	1	0::163	64::0	607::968	1940::1988	-1.0	0.0	0.0	A3SS
LOC_Os01g15260	Chr1:8541019-8541024	1	3973::13	5053::50	2488::930	3088::3006	0.006536742993972999	0.0	0.0	A5SS
LOC_Os01g15660	Chr1:8811453-8811589	7	322::407	1118::110	514::750	1058::965	-0.46872249254925086	0.0	0.0	Cassette
LOC_Os01g23910	Chr1:13456168-13456282	before first	1422::1196	3::689	1183::2295	144::975	0.5388274595177011	0.0	0.0	Cassette
LOC_Os01g25320	Chr1:14297390-14298235	6	0::476	10::292	29::442	540::399	-0.033112582781456956	0.0	0.0	A5SS
LOC_Os01g25320	Chr1:14294398-14295677	7	0::478	10::287	23::512	229::253	-0.03367003367003367	0.0	0.0	A3SS
LOC_Os01g34190	Chr1:18848142-18848147	1	157::0	0::232	388::361	171::224	1.0	0.0	0.0	A5SS
LOC_Os01g48060	Chr1:27504172-27504184	7	314::2383	1::2892	1283::3718	1339::3760	0.11608005592681844	0.0	0.0	A3SS
LOC_Os01g51360	Chr1:29531291-29531352	1	748::0	368::137	925::627	496::369	0.2712871287128713	0.0	0.0	A5SS
LOC_Os01g52110	Chr1:29968565-29968571	1	8263::5	661::1218	6791::7173	1208::1981	0.6476124687376327	0.0	0.0	A5SS
LOC_Os01g52110	Chr1:29968565-29968571	2	8263::5	661::1218	6791::8821	1208::2288	0.6476124687376327	0.0	0.0	A5SS
LOC_Os01g52110	Chr1:29968565-29968571	2	8263::5	661::1218	6791::12924	1208::3424	0.6476124687376327	0.0	0.0	A5SS
LOC_Os01g55300	Chr1:31831269-31831283	5	697::0	1::174	537::556	387::417	0.9942857142857143	0.0	0.0	A3SS
LOC_Os01g55300	Chr1:31833417-31833422	9	560::4	89::149	517::561	363::387	0.6189582215865069	0.0	0.0	A5SS
LOC_Os01g57490	Chr1:33220966-33221008	6-7	0::84	527::0	233::304	527::6	-1.0	0.0	0.0	MXE
LOC_Os01g58080	Chr1:33596747-33596800	2	767::884	949::9	759::380	795::377	-0.5260384988410896	0.0	0.0	A3SS
LOC_Os02g07030	Chr2:3594691-3594981	2	262::326	3::546	292::582	98::675	0.44011375041820006	0.0	0.0	Cassette
LOC_Os02g34120	Chr2:20415304-20415384	before first	0::413	75::65	7::516	155::317	-0.5357142857142857	0.0	0.0	AltStart
LOC_Os02g38490	Chr2:23273051-23273306	3	41::19	22::385	397::89	89::534	0.6294117647058823	0.0	0.0	AltEnd
LOC_Os02g38710	Chr2:23401552-23401573	7	0::109	1180::0	35::165	1247::1099	-1.0	0.0	0.0	A5SS
LOC_Os02g38710	Chr2:23401580-23401652	7-8	109::42	0::1197	64::54	24::1248	0.7107923051842191	0.0	0.0	A3SS
LOC_Os02g38804	Chr2:23457036-23457102	3	436::0	5::157	242::79	7::69	0.9643584521384929	0.0	0.0	Cassette
LOC_Os02g48430	Chr2:29657471-29657551	1-2	3::229	142::0	47::138	220::51	-0.9870689655172413	0.0	0.0	AltStart
LOC_Os02g57640	Chr2:35300505-35300510	5	8321::12	11::9396	4866::9612	2305::10205	0.997285011588617	0.0	0.0	A5SS
LOC_Os03g10224	Chr3:5203254-5203342	9	71::0	5::118	140::425	368::604	0.959349593495935	0.0	0.0	A5SS
LOC_Os03g10220	Chr3:5203254-5203342	6-7	71::0	5::118	140::426	368::620	0.959349593495935	0.0	0.0	A5SS
LOC_Os03g10600	Chr3:5406387-5406508	8	785::287	1267::0	888::1117	1314::1023	-0.2677238805970149	0.0	0.0	A5SS
LOC_Os03g10600	Chr3:5406479-5406508	8	843::287	1266::0	817::800	1319::936	-0.25398230088495577	0.0	0.0	Cassette
LOC_Os03g57500	Chr3:32783952-32783957	8	192::0	0::124	83::278	34::294	1.0	0.0	0.0	A5SS
LOC_Os03g62910	Chr3:35591749-35591762	3	0::1210	557::1033	96::998	542::1219	-0.350314465408805	0.0	0.0	A3SS
LOC_Os03g62910	Chr3:35595068-35595237	12	1819::408	7387::0	1084::1145	2340::2170	-0.18320610687022898	0.0	0.0	Cassette
LOC_Os04g02820	Chr4:1094277-1094422	2	1121::0	574::409	403::7	238::751	0.4160732451678535	0.0	0.0	AltStart
LOC_Os04g31010	Chr4:18535377-18535399	6	127::2	0::443	112::110	93::281	0.9844961240310077	0.0	0.0	A3SS
LOC_Os04g33590	Chr4:20340879-20340959	1-2	0::353	58::110	6::404	174::178	-0.34523809523809523	0.0	0.0	AltEnd
LOC_Os04g33630	Chr4:20365798-20365807	1	2::633	2186::0	223::398	1506::1219	-0.9968503937007874	0.0	0.0	A5SS
LOC_Os04g34984	Chr4:21267652-21267944	11	898::1	514::369	743::1094	484::987	0.4167811976815815	0.0	0.0	Cassette
LOC_Os04g40340	Chr4:23985016-23985118	7-8	14::346	200::1	695::658	514::350	-0.9561359867330017	0.0	0.0	Cassette
LOC_Os04g40400	Chr4:24016443-24016455	3	2882::20	520::0	2649::1569	582::1373	-0.006891798759476209	0.0	0.0	A3SS
LOC_Os04g50870	Chr4:30091315-30091395	2-3	76::56	0::253	161::73	16::273	0.5757575757575758	0.0	0.0	AltEnd
LOC_Os04g52340	Chr4:31102867-31102913	1	1067::0	720::178	420::234	989::543	0.19959342080946219	0.0	0.0	A5SS
LOC_Os04g52340	Chr4:31099025-31099041	11	1::2715	917::2329	205::551	518::679	-0.2826854405970849	0.0	0.0	A3SS
LOC_Os04g52690	Chr4:31364503-31364549	17	20::65	133::0	456::553	1013::498	-0.7647058823529411	0.0	0.0	A3SS
LOC_Os04g52690	Chr4:31364601-31364642	16	1472::23	687::136	1534::1514	1106::1287	0.1498644733152632	0.0	0.0	A5SS
LOC_Os04g53214	Chr4:31694572-31694776	5	895::59	4::71	1209::1112	35::170	0.8848218029350104	0.0	0.0	Cassette_multi
LOC_Os04g54430	Chr4:32387515-32387630	before first	0::238	188::147	41::6886	124::5734	-0.5603576751117735	0.0	0.0	Cassette
LOC_Os04g57650	Chr4:34325146-34325163	before first	2422::0	1::257	2408::1829	40::136	0.9961240310077519	0.0	0.0	A5SS
