Chr	From	To	Copia	Gypsy	unknown	Total_LTR
whole_genome	1	396427114	0.0344	0.2170	0.0425	0.2907
Chr1	1	3000000	0.0264	0.1283	0.0277	0.1811
Chr1	300001	3300000	0.0221	0.1238	0.0297	0.1743
Chr1	600001	3600000	0.0199	0.1233	0.0295	0.1711
Chr1	900001	3900000	0.0138	0.1173	0.0312	0.1607
Chr1	1200001	4200000	0.0140	0.1055	0.0311	0.1489
Chr1	1500001	4500000	0.0100	0.0924	0.0297	0.1303
Chr1	1800001	4800000	0.0099	0.0951	0.0303	0.1335
Chr1	2100001	5100000	0.0108	0.0840	0.0295	0.1225
Chr1	2400001	5400000	0.0114	0.0871	0.0315	0.1281
Chr1	2700001	5700000	0.0110	0.0914	0.0321	0.1326
Chr1	3000001	6000000	0.0155	0.0887	0.0325	0.1347
Chr1	3300001	6300000	0.0172	0.0772	0.0326	0.1249
Chr1	3600001	6600000	0.0173	0.0889	0.0378	0.1413
Chr1	3900001	6900000	0.0179	0.0830	0.0378	0.1361
Chr1	4200001	7200000	0.0213	0.0891	0.0374	0.1450
Chr1	4500001	7500000	0.0238	0.0972	0.0366	0.1549
Chr1	4800001	7800000	0.0233	0.0993	0.0367	0.1567
Chr1	5100001	8100000	0.0225	0.1072	0.0353	0.1624
Chr1	5400001	8400000	0.0219	0.1008	0.0324	0.1526
Chr1	5700001	8700000	0.0204	0.1124	0.0340	0.1640
Chr1	6000001	9000000	0.0158	0.1136	0.0340	0.1606
Chr1	6300001	9300000	0.0205	0.1118	0.0341	0.1638
Chr1	6600001	9600000	0.0217	0.1087	0.0291	0.1576
Chr1	6900001	9900000	0.0244	0.1125	0.0327	0.1677
Chr1	7200001	10200000	0.0232	0.1170	0.0336	0.1721
Chr1	7500001	10500000	0.0230	0.1230	0.0343	0.1784
Chr1	7800001	10800000	0.0233	0.1263	0.0337	0.1812
Chr1	8100001	11100000	0.0275	0.1266	0.0327	0.1848
Chr1	8400001	11400000	0.0286	0.1362	0.0336	0.1964
Chr1	8700001	11700000	0.0320	0.1291	0.0320	0.1914
Chr1	9000001	12000000	0.0347	0.1340	0.0314	0.1982
Chr1	9300001	12300000	0.0337	0.1513	0.0337	0.2165
Chr1	9600001	12600000	0.0361	0.1556	0.0362	0.2252
Chr1	9900001	12900000	0.0360	0.1687	0.0341	0.2350
Chr1	10200001	13200000	0.0424	0.2079	0.0343	0.2806
Chr1	10500001	13500000	0.0435	0.2045	0.0341	0.2782
Chr1	10800001	13800000	0.0482	0.2126	0.0367	0.2935
Chr1	11100001	14100000	0.0551	0.2152	0.0385	0.3048
Chr1	11400001	14400000	0.0555	0.2103	0.0415	0.3031
Chr1	11700001	14700000	0.0528	0.2137	0.0404	0.3030
Chr1	12000001	15000000	0.0588	0.2223	0.0413	0.3185
Chr1	12300001	15300000	0.0542	0.2182	0.0425	0.3113
Chr1	12600001	15600000	0.0567	0.2213	0.0418	0.3164
Chr1	12900001	15900000	0.0543	0.2332	0.0419	0.3269
Chr1	13200001	16200000	0.0503	0.1950	0.0443	0.2876
Chr1	13500001	16500000	0.0527	0.2180	0.0500	0.3175
Chr1	13800001	16800000	0.0544	0.2393	0.0502	0.3403
Chr1	14100001	17100000	0.0456	0.2468	0.0496	0.3384
Chr1	14400001	17400000	0.0487	0.2857	0.0500	0.3803
Chr1	14700001	17700000	0.0591	0.2952	0.0490	0.3991
Chr1	15000001	18000000	0.0589	0.2981	0.0518	0.4041
Chr1	15300001	18300000	0.0616	0.2971	0.0491	0.4028
Chr1	15600001	18600000	0.0619	0.2953	0.0510	0.4038
Chr1	15900001	18900000	0.0660	0.2714	0.0517	0.3841
Chr1	16200001	19200000	0.0678	0.2792	0.0471	0.3890
Chr1	16500001	19500000	0.0710	0.2673	0.0425	0.3764
Chr1	16800001	19800000	0.0664	0.2454	0.0389	0.3474
Chr1	17100001	20100000	0.0651	0.2575	0.0409	0.3597
Chr1	17400001	20400000	0.0623	0.2470	0.0369	0.3430
Chr1	17700001	20700000	0.0539	0.2300	0.0371	0.3178
Chr1	18000001	21000000	0.0491	0.2180	0.0343	0.2988
Chr1	18300001	21300000	0.0492	0.2399	0.0334	0.3201
Chr1	18600001	21600000	0.0438	0.2609	0.0319	0.3335
Chr1	18900001	21900000	0.0411	0.2723	0.0292	0.3401
Chr1	19200001	22200000	0.0355	0.2678	0.0325	0.3326
Chr1	19500001	22500000	0.0302	0.2726	0.0295	0.3296
Chr1	19800001	22800000	0.0312	0.2703	0.0293	0.3278
Chr1	20100001	23100000	0.0312	0.2445	0.0324	0.3044
Chr1	20400001	23400000	0.0295	0.2214	0.0337	0.2811
Chr1	20700001	23700000	0.0271	0.2301	0.0377	0.2914
Chr1	21000001	24000000	0.0245	0.2298	0.0367	0.2872
Chr1	21300001	24300000	0.0284	0.1983	0.0383	0.2609
Chr1	21600001	24600000	0.0299	0.1670	0.0367	0.2304
Chr1	21900001	24900000	0.0342	0.1538	0.0376	0.2224
Chr1	22200001	25200000	0.0332	0.1469	0.0371	0.2147
Chr1	22500001	25500000	0.0322	0.1459	0.0374	0.2130
Chr1	22800001	25800000	0.0314	0.1405	0.0410	0.2095
Chr1	23100001	26100000	0.0312	0.1472	0.0367	0.2128
Chr1	23400001	26400000	0.0351	0.1414	0.0354	0.2094
Chr1	23700001	26700000	0.0351	0.1349	0.0320	0.1997
Chr1	24000001	27000000	0.0346	0.1409	0.0312	0.2043
Chr1	24300001	27300000	0.0277	0.1534	0.0320	0.2110
Chr1	24600001	27600000	0.0245	0.1602	0.0354	0.2174
Chr1	24900001	27900000	0.0185	0.1578	0.0355	0.2091
Chr1	25200001	28200000	0.0194	0.1715	0.0356	0.2237
Chr1	25500001	28500000	0.0175	0.1506	0.0371	0.2020
Chr1	25800001	28800000	0.0190	0.1544	0.0334	0.2047
Chr1	26100001	29100000	0.0197	0.1463	0.0325	0.1964
Chr1	26400001	29400000	0.0182	0.1435	0.0348	0.1943
Chr1	26700001	29700000	0.0179	0.1399	0.0379	0.1933
Chr1	27000001	30000000	0.0203	0.1315	0.0388	0.1882
Chr1	27300001	30300000	0.0240	0.1198	0.0360	0.1776
Chr1	27600001	30600000	0.0239	0.1067	0.0347	0.1635
