chrom	length	bases	mean	min	max
Superscaffold1_6_43672899	43672899	8926324034	204.39046	0	13908
Superscaffold2_2_37641802	37641802	7265603103	193.01953	0	11036
Superscaffold3_3_39118592	39118592	7480356563	191.22254	0	10256
Superscaffold4_4_37424388	37424388	7231969219	193.24215	0	12030
Superscaffold5_3_30611827	30611827	5817161959	190.02988	0	5082
Superscaffold6_4_31859513	31859513	6002071965	188.39183	0	4495
Superscaffold7_7_30837454	30837454	5883935331	190.80484	0	13488
Superscaffold8_2_29080880	29080880	5559089265	191.15960	0	15868
Superscaffold9_6_23454625	23454625	4581132602	195.31894	0	42949
Superscaffold10_3_25325277	25325277	4803835326	189.68540	0	6745
Superscaffold11_12_33037997	33037997	6355507853	192.36965	0	9258
Superscaffold12_2_26998995	26998995	5115687525	189.47696	0	5956
unanchor1_1_292181	292181	52659413	180.22874	0	982
unanchor2_1_288701	288701	57585707	199.46487	0	3540
unanchor3_1_97221	97221	16382132	168.50405	0	350
unanchor4_1_49746	49746	6807857	136.85235	0	400
unanchor5_1_68829	68829	7709750	112.01310	0	219
unanchor6_1_98266	98266	6061105	61.68059	0	522
unanchor7_1_33723	33723	142221467	4217.34327	0	7889
unanchor8_1_73742	73742	111065932	1506.14212	0	4978
unanchor9_1_151913	151913	133719846	880.23965	0	2231
unanchor10_1_90583	90583	68825432	759.80517	0	1690
unanchor11_1_78046	78046	57946207	742.46223	0	4784
unanchor12_1_75598	75598	58712307	776.63836	0	3202
unanchor13_1_74951	74951	57868795	772.08836	0	4638
unanchor14_1_59362	59362	50783106	855.48172	0	1633
unanchor15_1_49551	49551	34810584	702.52031	0	2174
unanchor16_1_42116	42116	3751709	89.08037	0	143
unanchor17_1_17947	17947	5484	0.30557	0	4
unanchor18_1_17112	17112	6463	0.37769	0	4
unanchor19_1_96177	96177	539143939	5605.74710	0	13632
unanchor20_1_72238	72238	52217405	722.85231	0	2290
unanchor21_1_16690	16690	5912	0.35422	0	2
unanchor22_1_14881	14881	4547	0.30556	0	3
unanchor23_1_14718	14718	14700	0.99878	0	13
unanchor24_1_14703	14703	45503	3.09481	0	13
unanchor25_1_14565	14565	12378	0.84985	0	4
unanchor26_1_14538	14538	5530	0.38038	0	4
unanchor27_1_14468	14468	13083	0.90427	0	15
unanchor28_1_14415	14415	13458	0.93361	0	10
unanchor29_1_14272	14272	22960	1.60874	0	13
unanchor30_1_14268	14268	3149	0.22070	0	2
unanchor31_1_14132	14132	22322	1.57954	0	72
unanchor32_1_14057	14057	16942	1.20524	0	14
unanchor33_1_13532	13532	4162118	307.57597	0	4526
unanchor34_1_13525	13525	30247	2.23638	0	8
unanchor35_1_13493	13493	30873	2.28808	0	10
unanchor36_1_13021	13021	4557	0.34997	0	4
unanchor37_1_12311	12311	34546	2.80611	0	23
unanchor38_1_12235	12235	33346	2.72546	0	18
unanchor39_1_12197	12197	1636	0.13413	0	2
unanchor40_1_12194	12194	3746	0.30720	0	2
unanchor41_1_12154	12154	36120	2.97186	0	51
unanchor42_1_12118	12118	11420	0.94240	0	8
unanchor43_1_12019	12019	4653	0.38714	0	3
unanchor44_1_11702	11702	5910	0.50504	0	3
unanchor45_1_11553	11553	15373	1.33065	0	16
unanchor46_1_11532	11532	2871	0.24896	0	7
unanchor47_1_10942	10942	783	0.07156	0	1
unanchor48_1_10884	10884	12381	1.13754	0	9
unanchor49_1_10877	10877	20895	1.92103	0	27
unanchor50_1_10233	10233	9526	0.93091	0	9
unanchor51_1_10147	10147	610361	60.15187	0	223
unanchor52_1_9955	9955	2382	0.23928	0	2
unanchor53_1_9923	9923	3522	0.35493	0	4
unanchor54_1_9919	9919	2221	0.22391	0	5
unanchor55_1_9888	9888	17727	1.79278	0	11
unanchor56_1_9469	9469	24700	2.60851	0	14
unanchor57_1_9280	9280	18261	1.96778	0	8
unanchor58_1_9157	9157	11641	1.27127	0	12
unanchor59_1_9033	9033	17268	1.91166	0	12
unanchor60_1_9021	9021	33399	3.70236	0	43
unanchor61_1_8853	8853	1660	0.18751	0	1
unanchor62_1_8361	8361	8759	1.04760	0	5
unanchor63_1_8217	8217	20272	2.46708	0	8
unanchor64_1_8015	8015	428837	53.50430	0	161
unanchor65_1_7986	7986	3035	0.38004	0	6
unanchor66_1_7908	7908	45478	5.75089	0	24
unanchor67_1_7019	7019	374721	53.38666	0	237
unanchor68_1_6979	6979	11038	1.58160	0	7
unanchor69_1_6926	6926	7018	1.01328	0	5
unanchor70_1_6677	6677	15658	2.34507	0	23
unanchor71_1_6562	6562	12141	1.85020	0	9
unanchor72_1_6547	6547	8541	1.30457	0	4
unanchor73_1_6421	6421	18682	2.90952	0	18
unanchor74_1_6367	6367	3084	0.48437	0	3
unanchor75_1_6233	6233	12267	1.96807	0	8
unanchor76_1_6018	6018	270718	44.98471	0	140
unanchor77_1_5996	5996	16225	2.70597	0	9
unanchor78_1_5953	5953	37404	6.28322	0	487
unanchor79_1_5885	5885	425236	72.25760	0	129
unanchor80_1_5828	5828	14942	2.56383	0	9
unanchor81_1_5362	5362	20786	3.87654	0	61
unanchor82_1_5241	5241	21839	4.16695	0	36
unanchor83_1_5193	5193	5201	1.00154	0	9
unanchor84_1_5182	5182	301	0.05809	0	1
unanchor85_1_5168	5168	4816	0.93189	0	4
unanchor86_1_4959	4959	18308	3.69187	0	46
unanchor87_1_4914	4914	81160	16.51608	0	75
unanchor88_1_4744	4744	3208	0.67622	0	4
unanchor89_1_4464	4464	9306	2.08468	0	11
unanchor90_1_4392	4392	9724	2.21403	0	9
unanchor91_1_4121	4121	28354	6.88037	0	122
unanchor92_1_3923	3923	241491	61.55774	0	119
unanchor93_1_3855	3855	300	0.07782	0	1
unanchor94_1_3717	3717	3952	1.06322	0	9
unanchor95_1_3476	3476	93366	26.86018	0	308
unanchor96_1_3308	3308	9389	2.83827	0	37
unanchor97_1_3191	3191	3714	1.16390	0	4
unanchor98_1_3165	3165	950	0.30016	0	2
unanchor99_1_2903	2903	3044	1.04857	0	7
unanchor101_1_2747	2747	7849	2.85730	0	15
unanchor102_1_2744	2744	1471	0.53608	0	3
unanchor103_1_2337	2337	961	0.41121	0	3
unanchor104_1_2156	2156	13872	6.43414	0	94
unanchor105_1_2127	2127	2784	1.30889	0	4
unanchor107_1_1979	1979	1979	1.00000	0	3
unanchor109_1_1701	1701	1645	0.96708	0	6
unanchor110_1_1696	1696	2193360	1293.25472	0	3875
unanchor111_1_1570	1570	8161436	5198.36688	62	13053
unanchor113_1_1282	1282	407	0.31747	0	1
unanchor114_1_1151	1151	56901	49.43614	0	723
unanchor115_1_1041	1041	696	0.66859	0	5
unanchor116_1_5000	5000	376752	75.35040	0	128
unanchor117_1_39725	39725	7742664	194.90658	0	1058
unanchor118_1_32383	32383	37516613	1158.52802	0	26028
unanchor119_1_17415	17415	34014909	1953.19604	0	12647
unanchor120_1_46103	46103	3668432	79.57035	0	937
unanchor121_1_154093	154093	63192	0.41009	0	76
unanchor122_1_68233	68233	94549306	1385.68297	0	3277
unanchor123_1_64178	64178	399852120	6230.36118	0	14716
unanchor124_1_109102	109102	277411594	2542.68111	0	10480
unanchor125_1_23388	23388	141771	6.06170	0	195
unanchor126_1_49673	49673	4543462	91.46744	0	216
unanchor127_1_18234	18234	22947	1.25847	0	14
unanchor128_1_36581	36581	3067834	83.86414	0	162
unanchor129_1_16720	16720	42341	2.53236	0	14
unanchor130_1_65943	65943	7923252	120.15304	0	237
unanchor131_1_47239	47239	38402542	812.94147	0	4800
unanchor132_1_187994	187994	1160165566	6171.29039	0	28054
unanchor133_1_103935	103935	99081953	953.30690	0	4224
unanchor134_1_185382	185382	329951738	1779.84776	0	4834
unanchor135_1_43595	43595	19144334	439.14059	0	942
unanchor136_1_228640	228640	218298310	954.76868	0	3779
unanchor137_1_75617	75617	5802767	76.73892	0	1757
unanchor138_1_95146	95146	19967713	209.86392	0	3780
unanchor139_1_175889	175889	28732250	163.35445	0	3780
unanchor140_1_82098	82098	14080340	171.50649	0	1832
unanchor141_1_89220	89220	142089957	1592.57966	0	5028
unanchor142_1_56437	56437	4282710	75.88479	0	236
unanchor143_1_19101	19101	51735	2.70850	0	52
unanchor144_1_95943	95943	20084102	209.33369	0	373
unanchor145_1_35960	35960	2793707	77.68929	0	139
unanchor146_1_43478	43478	3907497	89.87297	0	148
unanchor147_1_61963	61963	13431208	216.76174	0	491
unanchor148_1_41064	41064	3486260	84.89821	0	139
unanchor149_1_17206	17206	26855	1.56079	0	11
unanchor150_1_17196	17196	17063	0.99227	0	11
unanchor151_1_23580	23580	279086	11.83571	0	149
unanchor152_1_86397	86397	224753	2.60140	0	228
unanchor153_1_15423	15423	6575	0.42631	0	3
unanchor154_1_18190	18190	31619	1.73826	0	21
unanchor155_1_16041	16041	6073	0.37859	0	3
unanchor156_1_37525	37525	1993869	53.13442	0	220
unanchor157_1_60705	60705	5364951	88.37742	0	4359
unanchor158_1_34201	34201	2421903	70.81381	0	144
unanchor159_1_42603	42603	5437173	127.62418	0	227
unanchor160_1_46382	46382	28536226	615.24354	0	3202
unanchor161_1_45325	45325	107181180	2364.72543	0	5075
unanchor162_1_61234	61234	42492442	693.93543	0	2579
unanchor163_1_79886	79886	403501246	5050.96320	0	9077
unanchor164_1_66051	66051	5223160	79.07768	0	821
unanchor165_1_69230	69230	48195812	696.16946	0	7504
unanchor166_1_87253	87253	16182859	185.47052	0	1145
unanchor167_1_84091	84091	15553880	184.96486	0	2148
unanchor168_1_30883	30883	2081863	67.41129	0	829
unanchor169_1_82674	82674	17736519	214.53563	0	3587
unanchor170_1_36477	36477	5416890	148.50152	0	627
unanchor171_1_50282	50282	5597460	111.32135	0	5095
unanchor172_1_273796	273796	67310373	245.84133	0	5967
unanchor173_1_120345	120345	23449589	194.85304	0	2070
unanchor174_1_141604	141604	23579962	166.52045	0	1261
unanchor175_1_54690	54690	5176773	94.65666	0	1869
unanchor176_1_314224	314224	64627885	205.67457	0	4099
unanchor177_1_300675	300675	71454744	237.64777	0	14098
unanchor178_1_66400	66400	28173020	424.29247	0	6634
total	396418874	80491014319	203.04536	0	42949
